id,severity,name,bad_example,why_bad,good_example,keywords,references
anti_string_hardcoded,MEDIUM,Hardcoded Strings in Code,Text('Hello World') directly in composable or view code instead of resources.,Cannot localize. Cannot update text without code change and recompilation.,Android: strings.xml resources. iOS: Localizable.strings or String Catalogs. Use R class or NSLocalizedString.,string hardcoded localization i18n resource,Android Resources; Apple Localization
anti_no_deep_link_test,MEDIUM,Untested Deep Links,Adding deep link intent filters but never testing them with adb or xcrun.,Users land on crash screens or wrong destinations from notifications or web links.,Test with: adb shell am start -a android.intent.action.VIEW -d 'scheme://path'. iOS: xcrun simctl openurl.,deep link test intent filter universal link,Android Deep Links; Apple Universal Links
anti_fragment_constructor,HIGH,Fragment Constructor Arguments,Passing data to Fragment via constructor parameters instead of arguments Bundle.,Fragment with constructor args crashes on recreation (process death or config change).,Use Fragment.newInstance() with arguments Bundle or Navigation Safe Args.,fragment constructor arguments bundle newinstance,Android Fragment Guide
anti_coroutine_globalscope,HIGH,Using GlobalScope for Coroutines,GlobalScope.launch { networkCall() } without structured concurrency.,Coroutine cannot be cancelled; leaks if parent scope is destroyed. No structured concurrency.,Use viewModelScope; lifecycleScope; or custom CoroutineScope with SupervisorJob.,globalscope coroutine structured concurrency scope leak,Kotlin Coroutines Guide
anti_force_unwrap_swift,HIGH,Force Unwrapping Optionals (Swift),let value = optionalValue! without nil check.,Runtime crash (fatal error: unexpectedly found nil) in production.,Use guard let; if let; or nil-coalescing operator (??) for safe unwrapping.,force unwrap optional nil crash swift guard,Swift Optionals Guide
anti_no_dark_mode,MEDIUM,Ignoring Dark Mode Support,Using hardcoded colors (Color.White) instead of semantic colors.,Unreadable text and eye strain in dark mode. Poor UX for 80%+ of users who use dark mode.,Use theme colors: MaterialTheme.colorScheme (Compose) or Color asset catalog (iOS). Test both modes.,dark mode theme color hardcoded semantic,Material Design 3 Theming; Apple Dark Mode
anti_massive_viewmodel,HIGH,Massive ViewModel (1000+ lines),ViewModel containing network calls; database queries; validation; and UI formatting logic.,Untestable; hard to understand; violates SRP. Every change risks breaking unrelated features.,Extract UseCases for business logic. Keep ViewModel as state holder only. Max 200-300 lines.,viewmodel massive srp usecase extract,Android Architecture Guide
anti_no_cancel_coroutine,HIGH,Not Cancelling Background Work,Starting download or upload without cancellation support when user navigates away.,Wasted bandwidth; battery drain; potential crashes from updating destroyed UI.,Check isActive in long loops. Use withContext(NonCancellable) only for cleanup. Respect cancellation.,cancel coroutine background work download isactive,Kotlin Cancellation Guide
anti_no_crash_reporting,HIGH,No Crash Reporting in Production,Releasing app without crash reporting integration.,Blind to production issues. Cannot prioritize fixes. Users silently churn.,Integrate Firebase Crashlytics or Sentry. Upload mapping files. Monitor crash-free rate.,crash reporting crashlytics sentry production monitoring,Firebase Crashlytics
anti_index_missing_db,MEDIUM,Missing Database Indexes,Querying Room/CoreData on columns without indexes on frequently filtered columns.,Slow queries (full table scan) on large datasets causing UI lag.,Add @Index to Room entities. Add indexes in CoreData model editor. Analyze with EXPLAIN QUERY PLAN.,database index query slow room coredata,Room Performance; CoreData Performance
anti_no_keyboard_handling,MEDIUM,Not Handling Keyboard in Forms,Form fields hidden behind keyboard with no scroll adjustment or keyboard avoidance.,Users cannot see what they are typing. Critical fields become inaccessible.,Android: imePadding() in Compose or windowSoftInputMode=adjustResize. iOS: keyboard avoidance in SwiftUI.,keyboard form hidden input adjust ime,Android IME; Apple Keyboard Guide
anti_sync_main_db,CRITICAL,Database Query on Main Thread,Room query without suspend or LiveData — runs synchronously blocking UI.,ANR for queries taking >16ms. Especially bad for large datasets or complex joins.,Always use suspend functions or Flow for Room queries. Use allowMainThreadQueries() only in tests.,database main thread query room anr suspend,Android Room Guide
anti_agp_9_kotlin_duplicate,CRITICAL,Redundant Kotlin Plugin in AGP 9.x,Adding alias(libs.plugins.kotlin.android) while using AGP 9.1+.,AGP 9.x applies Kotlin by default. Adding it again causes 'Cannot add extension with name kotlin' crash.,Remove org.jetbrains.kotlin.android from build.gradle.kts and libs.versions.toml.,agp 9 extension already registered kotlin,AGP 9 Release Notes
anti_agp_9_kotlin_options,HIGH,Legacy kotlinOptions in AGP 9.x,Using kotlinOptions { jvmTarget = '11' } in AGP 9.x build files.,Accessor is removed/deprecated in AGP 9.x due to Built-in Kotlin feature.,Use kotlin { jvmToolchain(11) } outside the android {} block.,kotlinoptions jvmtarget unresolved reference agp 9,Android Built-in Kotlin
anti_ksp_sourceset_block,HIGH,KSP SourceSet Block in AGP 9.x,Running KSP without android.disallowKotlinSourceSets flag in AGP 9.x.,AGP 9.x blocks the kotlin.sourceSets DSL used by KSP for generated code.,Add android.disallowKotlinSourceSets=false to gradle.properties.,ksp sourcesets dsl not allowed agp 9,KSP GitHub Issues
anti_unregistered_activity,CRITICAL,Unregistered Activity in Manifest,Adding a new Activity class but missing the <activity> tag in AndroidManifest.xml.,Throws ActivityNotFoundException when attempting to start the activity.,Always register new activities in AndroidManifest.xml with appropriate exported tag.,activitynotfoundexception manifest unregistered,Android Manifest Docs
anti_room_migration_fail,CRITICAL,Missing Room Migration,Changing Entity schema (adding/removing columns) without incrementing version or adding Migration.,App crashes on startup with IllegalStateException: Room cannot verify data integrity.,Increment @Database version and provide Migration or fallbackToDestructiveMigration().,room migration version schema change crash,Android Room Migration
anti_intent_key_mismatch,HIGH,Intent Extra Key Mismatch,Using different keys for putExtra() and getExtra() (e.g. 'ID' vs 'id').,getExtra() returns null or default value; leading to NullPointerException or wrong data.,Use constant companion object properties for Intent keys to ensure consistency.,intent extra key mismatch nullpointer,Android Intent Docs
anti_recycler_item_height,MEDIUM,RecyclerView Item Match Parent,Setting layout_height='match_parent' for a single item in a RecyclerView list.,The first item takes up the entire screen; hiding all subsequent items in the list.,Always set layout_height='wrap_content' for individual list item layouts.,recyclerview item height match_parent hidden,Android RecyclerView Guide
