id,category,name,description,when_to_use,trade_offs,implementation_notes,keywords,references
stack_compose_multiplatform,Cross-Platform,Compose Multiplatform,JetBrains framework extending Compose to iOS; desktop; and web.,When wanting maximum code sharing including UI layer with Compose-style development.,iOS support is production-ready but younger than Flutter; desktop support is strong.,CMP: shared @Composable UI. Platform: expect/actual. Resources: Compose resources API.,compose multiplatform cmp jetbrains ios desktop web,JetBrains CMP Docs
stack_room,Database,Room (Android),SQLite abstraction library with compile-time query verification for Android.,Default local database for Android apps. Works with Flow and coroutines.,Android-only; for KMM use SQLDelight instead. Migration management required.,Room: @Entity + @Dao + @Database. Migrations: autoMigrate or manual Migration class. Use Flow for reactive queries.,room database sqlite android dao entity migration,Android Room
stack_coredata,Database,Core Data (iOS),Apple's object graph and persistence framework for iOS/macOS.,When building iOS-only apps needing complex object relationships and iCloud sync.,Complex API; thread safety requires NSManagedObjectContext per thread. Heavy for simple key-value.,iOS: NSManagedObjectContext + NSFetchRequest. Use @FetchRequest in SwiftUI. NSPersistentCloudKitContainer for sync.,coredata database ios persistence icloud nsfetchrequest,Apple Core Data
stack_sqldelight,Database,SQLDelight (Multiplatform),Kotlin Multiplatform SQL database with type-safe generated Kotlin APIs.,When using KMM and need shared local database across Android and iOS.,Requires writing raw SQL (not ORM). Generated code needs rebuild on schema change.,SQLDelight: .sq files generate Kotlin interfaces. Drivers: Android SQLite; iOS Native. Coroutines Flow adapter.,sqldelight database multiplatform sql kotlin kmp,SQLDelight Docs
stack_retrofit,Networking,Retrofit (Android),Type-safe HTTP client for Android with converter and interceptor support.,Default networking library for Android-only or Android-focused projects.,Android-only; for KMM use Ktor. OkHttp dependency adds to APK size.,Retrofit: @GET/@POST annotations + Gson/Moshi converter. OkHttp interceptors for auth/logging.,retrofit http networking okhttp android converter,Retrofit Docs; OkHttp
stack_ktor,Networking,Ktor Client (Multiplatform),Kotlin Multiplatform HTTP client for Android; iOS; and server.,When using KMM and need shared networking layer. Also good for Android-only.,Less mature than Retrofit for Android-specific features; plugin system for serialization.,Ktor: HttpClient with engine (OkHttp for Android; Darwin for iOS). Kotlinx.serialization. Content negotiation.,ktor http client multiplatform kotlin networking,Ktor Client Docs
stack_alamofire,Networking,Alamofire / URLSession (iOS),Networking libraries for iOS — Alamofire wraps URLSession with convenience APIs.,iOS-only projects. URLSession for simple needs; Alamofire for complex interceptors.,Alamofire adds dependency weight; URLSession async/await is sufficient for most cases.,iOS: URLSession with async/await (modern). Alamofire for retry; intercept; certificate pinning.,alamofire urlsession networking ios http async,Alamofire Docs; Apple URLSession
stack_hilt,DI,Hilt (Android),Android-specific dependency injection built on Dagger with lifecycle integration.,Default DI for Android apps using Jetpack components.,Annotation processing increases build time; Dagger error messages are cryptic.,Hilt: @HiltAndroidApp + @AndroidEntryPoint + @Inject + @Module + @Provides. Testing: @HiltAndroidTest.,hilt dagger di injection android module provides,Hilt Guide
stack_koin,DI,Koin (Multiplatform),Lightweight Kotlin DI framework with multiplatform support.,KMM projects or Android apps wanting simpler DI than Hilt.,Runtime resolution (not compile-time) means DI errors appear at runtime; not compile.,Koin: module { single { } factory { } } + koinApplication. KMM: shared module definitions.,koin di injection multiplatform kotlin simple,Koin Docs
stack_firebase,Backend,Firebase,Google's BaaS platform providing auth; database; analytics; and crash reporting for mobile.,When you need rapid backend setup without custom server infrastructure.,Vendor lock-in; pricing scales with usage; limited query flexibility vs custom backend.,Firebase: Auth + Firestore + Crashlytics + Remote Config + Cloud Messaging (FCM). Both platforms.,firebase baas auth firestore crashlytics fcm analytics,Firebase Docs
stack_fastlane,CI/CD,Fastlane,Automation tool for building; testing; and deploying iOS and Android apps.,When you need automated release pipeline for both platforms.,Ruby dependency; Fastfile DSL learning curve; some actions are community-maintained.,Fastlane: scan (test) + gym (build) + deliver/supply (publish) + match (iOS signing).,fastlane ci cd automate deploy supply deliver match,Fastlane Docs
stack_gradle,Build,Gradle (Android),Build system for Android projects with Kotlin DSL and dependency management.,All Android projects. AGP 9.1+ and Gradle 9.3+ for modern builds (Meerkat).,Build times can be slow; use configuration cache and build cache.,Gradle: libs.versions.toml + AGP 9.x. Use kotlin { jvmToolchain(21) } for JDK management. --configuration-cache.,gradle build android agp 9 gradle 9 meerkat version catalog,Android Gradle Guide
stack_xcode,Build,Xcode + SPM (iOS),Apple's IDE and Swift Package Manager for building and managing iOS projects.,All iOS projects. Xcode 15.3+ preferred.,Xcode-only CI requires macOS runners; SPM resolution can be slow for large dependency graphs.,Xcode: .xcodeproj or .xcworkspace. SPM: Package.swift. Xcode Cloud for Apple-native CI/CD.,xcode spm swift package manager build ios,Apple Xcode; SPM
stack_coil,Media,Coil (Android),Kotlin-first image loading library with Compose integration for Android.,Default image loading for Jetpack Compose projects. Lightweight alternative to Glide.,Android-only; for KMM consider shared image loading with Ktor + custom caching.,Coil: AsyncImage (Compose) or ImageRequest. Disk + memory cache. Transformations. SVG/GIF support.,coil image loading compose android cache async,Coil Docs
